player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
James Hahn,130,-0.18930769230769232,0.12292307692307693,-0.09938461538461539,0.002461538461538461,-0.1853076923076923,0.5923076923076923,2,11,0,0,0.85,0.59
Jamie Lovemark,88,-0.3138636363636364,-0.04352272727272727,-0.31625,0.22943181818181815,-0.18420454545454545,0.5681818181818182,0,5,2,1,0.87,0.59
Jason Bohn,61,-0.751311475409836,-0.5018032786885246,-0.08377049180327868,-0.09295081967213115,-0.07245901639344261,0.5409836065573771,0,4,2,3,0.885,0.875
Jason Day,106,0.9064150943396226,0.28867924528301886,-0.026132075471698112,0.3036792452830189,0.31424528301886795,0.7547169811320755,7,31,2,1,0.495,0.705
Jason Dufner,132,-0.15325757575757576,0.17113636363636364,0.12856060606060604,0.009545454545454551,-0.43931818181818183,0.5909090909090909,1,8,0,2,0.9,0.985
Jason Kokrak,158,0.18272151898734176,0.43594936708860754,0.19556962025316454,-0.2713291139240506,-0.1779746835443038,0.6962025316455697,3,20,0,0,0.935,0.46
Jazz Janewattananond,12,-1.4858333333333331,-0.10166666666666667,-0.2625,-0.6275000000000001,-0.4925,0.4166666666666667,0,0,1,0,0.8,0.585
Jerry Kelly,41,-0.4117073170731707,-0.1782926829268293,-0.035121951219512185,0.1704878048780488,-0.3687804878048781,0.6097560975609756,0,3,2,3,0.615,0.46
Jhonattan Vegas,132,0.12924242424242424,0.49189393939393933,0.03204545454545455,-0.17515151515151517,-0.2381060606060606,0.6893939393939394,2,12,0,0,0.945,0.53
Jim Furyk,83,0.42807228915662654,-0.24867469879518073,0.5248192771084338,0.13855421686746988,0.01397590361445783,0.6987951807228916,1,12,0,3,0.59,0.605
Jim Herman,130,-0.6015384615384616,0.29653846153846153,-0.19338461538461538,-0.3275384615384615,-0.3773846153846154,0.45384615384615384,3,5,1,0,0.85,0.595
Jim Knous,29,-1.160344827586207,-0.09482758620689655,-0.3255172413793103,-0.38275862068965516,-0.2189655172413793,0.41379310344827586,0,1,1,0,0.93,0.93
Jimmy Walker,126,-0.24912698412698414,-0.5500793650793651,0.11222222222222222,0.0703968253968254,0.12087301587301588,0.6349206349206349,3,12,2,3,0.94,0.985
Joaquin Niemann,88,0.6928409090909091,0.46125000000000005,0.45749999999999996,-0.06806818181818182,-0.14170454545454547,0.7954545454545454,2,17,0,2,0.945,0.885
Joel Dahmen,114,-0.111140350877193,0.25894736842105265,0.1326315789473684,-0.14192982456140352,-0.37526315789473685,0.6491228070175439,0,12,0,2,0.91,0.91
